title,genres_clean,overview,popularity,combined_features
The Wedding Party,Comedies Dramas International Movies,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests.",74.0,"The Wedding Party Comedies Dramas International Movies As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests. Netflix"
Arctic Heart,Dramas International Movies Romantic Movies,"Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research.",74.0,"Arctic Heart Dramas International Movies Romantic Movies Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research. Netflix"
Our Lovers,Comedies Dramas International Movies,"A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other.",74.0,"Our Lovers Comedies Dramas International Movies A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other. Netflix"
Sandy Wexler,Comedies,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",75.5,"Sandy Wexler Comedies When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off. Netflix"
Macho,Comedies International Movies LGBTQ Movies,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.,74.0,Macho Comedies International Movies LGBTQ Movies A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is. Netflix
Kevin Hart: What Now?,Stand-Up Comedy,"Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old.",74.0,"Kevin Hart: What Now? Stand-Up Comedy Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old. Netflix"
Frat Star,Comedies,A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed.,75.5,Frat Star Comedies A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed. Netflix
The Miracle,International TV Shows Korean TV,"Polar opposites in personality and looks, fraternal twin sisters who live completely different lives wake up one day to find they've switched bodies.",74.0,"The Miracle International TV Shows Korean TV Polar opposites in personality and looks, fraternal twin sisters who live completely different lives wake up one day to find they've switched bodies. Netflix"
The Get Down,TV Dramas,"In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history.",75.5,"The Get Down TV Dramas In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history. Netflix"
The Lighthouse of the Orcas,Dramas International Movies Romantic Movies,A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection.,74.0,The Lighthouse of the Orcas Dramas International Movies Romantic Movies A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection. Netflix
Win It All,Comedies Independent Movies Romantic Movies,"After losing $50,000 that wasn't his, gambling addict Eddie starts to rebuild his life. But an unwelcome surprise pushes him toward his old ways.",75.5,"Win It All Comedies Independent Movies Romantic Movies After losing $50,000 that wasn't his, gambling addict Eddie starts to rebuild his life. But an unwelcome surprise pushes him toward his old ways. Netflix"
Louis C.K. 2017,Movies,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C.",75.5,"Louis C.K. 2017 Movies Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C. Netflix"
Burned Cocoon,International TV Shows TV Dramas,"A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts.",57.5,"Burned Cocoon International TV Shows TV Dramas A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts. Netflix"
Couples Counseling,Comedies Dramas International Movies,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.,74.0,Couples Counseling Comedies Dramas International Movies A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients. Netflix
Deuces,Dramas,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader.",74.0,"Deuces Dramas Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader. Netflix"
Elaan,Action Adventure Cult Movies International,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers.",10.0,"Elaan Action Adventure Cult Movies International Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers. Netflix"
Five Nights in Maine,Dramas Independent Movies,"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal.",72.5,"Five Nights in Maine Dramas Independent Movies After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal. Netflix"
Killa,Dramas International Movies,Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.,71.0,Killa Dramas International Movies Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to. Netflix
Life 2.0,Documentaries,Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality.,65.0,Life 2.0 Documentaries Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality. Netflix
Salaakhen,Action Adventure International Movies Music,"Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond.",12.5,"Salaakhen Action Adventure International Movies Music Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond. Netflix"
Skins,Dramas International Movies,"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama.",75.5,"Skins Dramas International Movies Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama. Netflix"
The Tenth Man,Dramas International Movies,"After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father.",74.0,"The Tenth Man Dramas International Movies After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father. Netflix"
Toro,Dramas International Movies Thrillers,Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.,74.0,Toro Dramas International Movies Thrillers Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all. Netflix
Bridget Christie: Stand Up for Her,Stand-Up Comedy,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality.",74.0,"Bridget Christie: Stand Up for Her Stand-Up Comedy Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality. Netflix"
Five Came Back,Docuseries,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.,75.5,Five Came Back Docuseries Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II. Netflix
Hoff the Record,British TV Shows TV Comedies,"TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails.",74.0,"Hoff the Record British TV Shows TV Comedies TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails. Netflix"
The Discovery,Dramas Independent Movies Romantic Movies,"A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman.",75.5,"The Discovery Dramas Independent Movies Romantic Movies A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman. Netflix"
Jo Koy: Live from Seattle,Stand-Up Comedy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.",75.5,"Jo Koy: Live from Seattle Stand-Up Comedy Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it. Netflix"
Bottersnikes & Gumbles,British TV Shows Kids' TV,The fun-loving Gumbles bounce and play while staying away from the foul-smelling Bottersnikes who live in a nearby junkyard.,75.5,Bottersnikes & Gumbles British TV Shows Kids' TV The fun-loving Gumbles bounce and play while staying away from the foul-smelling Bottersnikes who live in a nearby junkyard. Netflix
Felipe Neto: My Life Makes No Sense,Stand-Up Comedy,YouTube sensation Felipe Neto brings the stories from his autobiographical book 'Não Faz Sentido!' to the stage in this comedy special.,75.5,Felipe Neto: My Life Makes No Sense Stand-Up Comedy YouTube sensation Felipe Neto brings the stories from his autobiographical book 'Não Faz Sentido!' to the stage in this comedy special. Netflix
The C Word,Documentaries,"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease.",74.0,"The C Word Documentaries To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease. Netflix"
The Most Hated Woman in America,Dramas,"This drama follows the controversial life of outspoken atheist Madalyn Murray O'Hair, from her landmark court battles to her infamous abduction.",75.5,"The Most Hated Woman in America Dramas This drama follows the controversial life of outspoken atheist Madalyn Murray O'Hair, from her landmark court battles to her infamous abduction. Netflix"
Dave Chappelle,Stand-Up Comedy Talk Shows TV,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",75.5,"Dave Chappelle Stand-Up Comedy Talk Shows TV Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials. Netflix"
One-Punch Man,Anime Series Crime TV Shows,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression.",72.5,"One-Punch Man Anime Series Crime TV Shows The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression. Netflix"
Best Worst Thing That Ever Could Have Happened,Documentaries,The cast and crew of the 1981 Broadway musical 'Merrily We Roll Along' recall joy and heartbreak during the production of a surefire hit that wasn't.,74.0,Best Worst Thing That Ever Could Have Happened Documentaries The cast and crew of the 1981 Broadway musical 'Merrily We Roll Along' recall joy and heartbreak during the production of a surefire hit that wasn't. Netflix
Deidra & Laney Rob a Train,Comedies Dramas Independent Movies,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat.",75.5,"Deidra & Laney Rob a Train Comedies Dramas Independent Movies With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat. Netflix"
Julie's Greenroom,Kids' TV,Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids' series from the Jim Henson Company.,75.5,Julie's Greenroom Kids' TV Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids' series from the Jim Henson Company. Netflix
Outback Truckers,Reality TV,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time.",72.5,"Outback Truckers Reality TV Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time. Netflix"
Pandora,Dramas International Movies Thrillers,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",74.0,"Pandora Dramas International Movies Thrillers When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster. Netflix"
Samurai Gourmet,International TV Shows TV Dramas,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,75.5,Samurai Gourmet International TV Shows TV Dramas Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires. Netflix
Howards End,Classic Movies Dramas Independent Movies,"When a husband, acting in his family's 'best interest,' does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity.",38.0,"Howards End Classic Movies Dramas Independent Movies When a husband, acting in his family's 'best interest,' does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity. Netflix"
Asoka,Action Adventure Dramas International Movies,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.,51.5,Asoka Action Adventure Dramas International Movies This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism. Netflix
"Bon Cop, Bad Cop",Action Adventure Comedies International Movies,An English-speaking officer from Toronto and a French-speaking cop from Montreal are forced to work together to solve a crime.,59.0,"Bon Cop, Bad Cop Action Adventure Comedies International Movies An English-speaking officer from Toronto and a French-speaking cop from Montreal are forced to work together to solve a crime. Netflix"
Notes on Blindness,Documentaries Dramas International Movies,"Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness.",74.0,"Notes on Blindness Documentaries Dramas International Movies Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness. Netflix"
One 2 Ka 4,Action Adventure Comedies Dramas,"When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them.",51.5,"One 2 Ka 4 Action Adventure Comedies Dramas When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them. Netflix"
Cheer Squad,Reality TV Teen TV Shows,"Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships.",74.0,"Cheer Squad Reality TV Teen TV Shows Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships. Netflix"
Jim Norton: Mouthful of Shame,Stand-Up Comedy,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities.",75.5,"Jim Norton: Mouthful of Shame Stand-Up Comedy In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities. Netflix"
100 Meters,Dramas International Movies Sports Movies,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",74.0,"100 Meters Dramas International Movies Sports Movies A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help. Netflix"
Buddy Thunderstruck,Kids' TV TV Comedies,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",75.5,"Buddy Thunderstruck Kids' TV TV Comedies Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit. Netflix"
Burning Sands,Dramas Independent Movies,Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.,75.5,Burning Sands Dramas Independent Movies Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night. Netflix
One More Time,International TV Shows Korean TV,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,74.0,One More Time International TV Shows Korean TV This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate. Netflix
The Butterfly's Dream,Dramas International Movies Romantic Movies,"Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman.",69.5,"The Butterfly's Dream Dramas International Movies Romantic Movies Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman. Netflix"
Amy Schumer: The Leather Special,Stand-Up Comedy,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater.",75.5,"Amy Schumer: The Leather Special Stand-Up Comedy Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater. Netflix"
Love Is in the Air,International TV Shows TV Dramas,"Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister.",65.0,"Love Is in the Air International TV Shows TV Dramas Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister. Netflix"
Nila,Dramas International Movies Romantic Movies,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter.",74.0,"Nila Dramas International Movies Romantic Movies When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter. Netflix"
Tong: Memories,International TV Shows Korean TV,A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan.,74.0,Tong: Memories International TV Shows Korean TV A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan. Netflix
Mike Birbiglia: Thank God for Jokes,Stand-Up Comedy,"Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny.",75.5,"Mike Birbiglia: Thank God for Jokes Stand-Up Comedy Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny. Netflix"
Force 2,Action Adventure International Movies,"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest.",74.0,"Force 2 Action Adventure International Movies An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest. Netflix"
Jonas,Dramas International Movies,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float.",72.5,"Jonas Dramas International Movies During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float. Netflix"
Operações Especiais,Action Adventure International Movies,"In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides.",72.5,"Operações Especiais Action Adventure International Movies In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides. Netflix"
I Don't Feel at Home in This World Anymore,Dramas Independent Movies Thrillers,A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house.,75.5,I Don't Feel at Home in This World Anymore Dramas Independent Movies Thrillers A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house. Netflix
Legend Quest,Kids' TV,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",75.5,"Legend Quest Kids' TV When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time. Netflix"
The Sound of Your Heart,International TV Shows Korean TV,"Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family.",74.0,"The Sound of Your Heart International TV Shows Korean TV Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family. Netflix"
Love Me As I Am,International TV Shows Romantic TV,"After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect.",72.5,"Love Me As I Am International TV Shows Romantic TV After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect. Netflix"
Trevor Noah: Afraid of the Dark,Stand-Up Comedy,"The 'Daily Show' host ponders the perils of naming countries, how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland.",75.5,"Trevor Noah: Afraid of the Dark Stand-Up Comedy The 'Daily Show' host ponders the perils of naming countries, how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland. Netflix"
Boy Missing,International Movies Thrillers,"When her son is kidnapped and later found traumatized, a lawyer takes justice into her own hands, causing events that spiral out of control.",74.0,"Boy Missing International Movies Thrillers When her son is kidnapped and later found traumatized, a lawyer takes justice into her own hands, causing events that spiral out of control. Netflix"
Growing Up Wild,Children Family Movies Documentaries,"Five baby animals from different parts of the world grow up learning to survive in the wild, nurtured by the love and guidance of their families.",74.0,"Growing Up Wild Children Family Movies Documentaries Five baby animals from different parts of the world grow up learning to survive in the wild, nurtured by the love and guidance of their families. Netflix"
Tini: The New Life of Violetta,Children Family Movies Music Musicals,"After completing a world tour, a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist.",74.0,"Tini: The New Life of Violetta Children Family Movies Music Musicals After completing a world tour, a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist. Netflix"
Love for Ten: Generation of Youth,International TV Shows Korean TV,"A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to.",69.5,"Love for Ten: Generation of Youth International TV Shows Korean TV A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to. Netflix"
Rocky Handsome,Action Adventure International Movies,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,74.0,Rocky Handsome Action Adventure International Movies A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter. Netflix
A Heavy Heart,Dramas Independent Movies International Movies,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",72.5,"A Heavy Heart Dramas Independent Movies International Movies Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder. Netflix"
Nightmare High,International TV Shows Korean TV,"After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late.",74.0,"Nightmare High International TV Shows Korean TV After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late. Netflix"
Rush: Beyond the Lighted Stage,Documentaries Music Musicals,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution.",65.0,"Rush: Beyond the Lighted Stage Documentaries Music Musicals Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution. Netflix"
Spark,International TV Shows Korean TV,A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?,74.0,Spark International TV Shows Korean TV A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love? Netflix
The Fury of a Patient Man,International Movies Thrillers,"After his lover is killed in a jewelry store robbery, quiet José romances café owner Ana, who's unaware he has other motivations.",74.0,"The Fury of a Patient Man International Movies Thrillers After his lover is killed in a jewelry store robbery, quiet José romances café owner Ana, who's unaware he has other motivations. Netflix"
The Memory of Water,Dramas International Movies,"When the accidental death of a couple's young son sends them grieving in opposite directions, they're forced to re-examine their life and marriage.",72.5,"The Memory of Water Dramas International Movies When the accidental death of a couple's young son sends them grieving in opposite directions, they're forced to re-examine their life and marriage. Netflix"
Girlfriend's Day,Comedies Independent Movies,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",75.5,"Girlfriend's Day Comedies Independent Movies When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin. Netflix"
Katherine Ryan: In Trouble,Stand-Up Comedy,"Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation.",75.5,"Katherine Ryan: In Trouble Stand-Up Comedy Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation. Netflix"
White Nights,International TV Shows Korean TV,"A coldhearted heiress, a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power.",74.0,"White Nights International TV Shows Korean TV A coldhearted heiress, a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power. Netflix"
Cyborg 009: Call of Justice,Anime Series International TV Shows,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.",75.5,"Cyborg 009: Call of Justice Anime Series International TV Shows Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity. Netflix"
David Brent: Life on the Road,Comedies International Movies Music Musicals,"With 'The Office' long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom.",74.0,"David Brent: Life on the Road Comedies International Movies Music Musicals With 'The Office' long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom. Netflix"
Grillo vs Grillo,Stand-Up Comedy,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.",75.5,"Grillo vs Grillo Stand-Up Comedy Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics. Netflix"
Hitler - A Career,Documentaries International Movies,"This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest.",15.5,"Hitler - A Career Documentaries International Movies This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest. Netflix"
"Michael Bolton's Big, Sexy Valentine's Day Special",Comedies Music Musicals Romantic Movies,"After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love.",75.5,"Michael Bolton's Big, Sexy Valentine's Day Special Comedies Music Musicals Romantic Movies After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love. Netflix"
Daniel Sosa: Sosafado,Stand-Up Comedy,"Comedian Daniel Sosa inhabits various characters, including a Tupperware dealer, a thirsty priest and a Trojan horse soldier in this stand-up special.",75.5,"Daniel Sosa: Sosafado Stand-Up Comedy Comedian Daniel Sosa inhabits various characters, including a Tupperware dealer, a thirsty priest and a Trojan horse soldier in this stand-up special. Netflix"
Imperial Dreams,Dramas,"A young father returns home from jail eager to care for his son and become a writer, but crime, poverty and a flawed system threaten his plans.",71.0,"Imperial Dreams Dramas A young father returns home from jail eager to care for his son and become a writer, but crime, poverty and a flawed system threaten his plans. Netflix"
Dilwale,Action Adventure Dramas International Movies,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance.",72.5,"Dilwale Action Adventure Dramas International Movies A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance. Netflix"
Happy New Year,Action Adventure Comedies Dramas,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.,71.0,Happy New Year Action Adventure Comedies Dramas A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance. Netflix
Haraamkhor,Dramas Independent Movies International Movies,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.",72.5,"Haraamkhor Dramas Independent Movies International Movies A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires. Netflix"
Heroes Wanted,Action Adventure Comedies International Movies,"When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?",74.0,"Heroes Wanted Action Adventure Comedies International Movies When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes? Netflix"
The Reconquest,Dramas International Movies Romantic Movies,"Years after they were childhood sweethearts, Manuela and Olmo share a night in Madrid, where they discuss their past and the possibility of a future.",74.0,"The Reconquest Dramas International Movies Romantic Movies Years after they were childhood sweethearts, Manuela and Olmo share a night in Madrid, where they discuss their past and the possibility of a future. Netflix"
Zapped,Children Family Movies Comedies,A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.,71.0,Zapped Children Family Movies Comedies A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for. Netflix
Bill Burr: Walk Your Way Out,Stand-Up Comedy,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.",75.5,"Bill Burr: Walk Your Way Out Stand-Up Comedy No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language. Netflix"
Semana Santa,Dramas International Movies,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll.",72.5,"Semana Santa Dramas International Movies A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll. Netflix"
